iter	RMSE
0	77453.85492
1	75665.97319
2	74031.09438
3	72188.26737
4	70599.63162
5	69071.6921
6	67495.51651
7	66091.39817
8	64787.47321
9	63474.52403
10	62181.32368
11	61021.02009
12	59899.50963
13	58786.7146
14	57737.00594
15	56546.92552
16	55544.62097
17	54522.6502
18	53593.23099
19	52699.48819
20	51803.47495
21	50984.73012
22	50185.86951
23	49481.97626
24	48770.14567
25	48063.145
26	47384.69088
27	46792.31519
28	46277.27787
29	45734.74274
30	45136.35161
31	44569.40643
32	43992.50223
33	43542.13708
34	42989.62177
35	42509.81462
36	41980.99825
37	41580.60173
38	41090.73104
39	40670.25411
40	40271.11525
41	39822.69916
42	39411.01649
43	39009.98414
44	38633.93749
45	38224.58784
46	37838.61467
47	37538.4834
48	37169.68081
49	36860.91846
50	36578.04406
51	36237.22528
52	35882.46615
53	35622.96807
54	35286.34669
55	35006.95219
56	34712.97551
57	34445.70274
58	34173.09483
59	33937.89155
60	33742.11805
61	33505.49885
62	33273.38974
63	33026.98611
64	32794.27549
65	32551.66872
66	32352.80163
67	32192.98494
68	32025.446
69	31814.98461
70	31589.44275
71	31458.79884
72	31204.34459
73	30972.76683
74	30789.38071
75	30640.38782
76	30451.86067
77	30267.28633
78	30130.19296
79	29985.47919
80	29795.39122
81	29645.74737
82	29496.61771
83	29333.34786
84	29168.99545
85	29015.00744
86	28842.48121
87	28723.15976
88	28616.41641
89	28535.3575
90	28419.76295
91	28294.13641
92	28168.37705
93	28048.70748
94	27967.23445
95	27824.47453
96	27706.87921
97	27578.66365
98	27497.55612
99	27382.93274
100	27308.12501
101	27176.56118
102	27062.51173
103	26971.12854
104	26856.83436
105	26764.91851
106	26658.17846
107	26569.00538
108	26485.10707
109	26415.76468
110	26306.35501
111	26208.76695
112	26124.28676
113	26010.97235
114	25910.66938
115	25809.60923
116	25746.05601
117	25666.86476
118	25604.40068
119	25531.80993
120	25470.05267
121	25406.25057
122	25341.15825
123	25290.73577
124	25253.39834
125	25163.82111
126	25077.95179
127	24969.85306
128	24901.68997
129	24831.37863
130	24745.89098
131	24684.63053
132	24613.0252
133	24527.60816
134	24445.60584
135	24382.65988
136	24299.37831
137	24244.18596
138	24183.99586
139	24106.35515
140	24059.44714
141	24009.23887
142	23936.68367
143	23897.69303
144	23847.19165
145	23786.03553
146	23725.0417
147	23690.05804
148	23648.467
149	23578.29841
150	23522.47101
151	23477.58425
152	23440.28794
153	23357.36272
154	23306.71551
155	23270.09156
156	23227.27139
157	23210.84505
158	23128.00082
159	23093.13538
160	23045.65117
161	23003.49384
162	22971.66166
163	22932.53514
164	22874.81989
165	22808.81882
166	22773.55031
167	22737.01534
168	22699.83666
169	22669.96571
170	22624.93689
171	22572.74677
172	22535.80993
173	22474.07012
174	22393.25662
175	22331.21078
176	22256.72814
177	22204.76036
178	22149.68361
179	22097.68532
180	22063.87952
181	22024.64065
182	21962.60897
183	21927.41474
184	21882.01663
185	21831.58367
186	21808.90047
187	21775.32688
188	21750.37822
189	21691.28525
190	21642.64403
191	21600.65215
192	21565.60036
193	21541.62392
194	21520.34547
195	21450.75505
196	21422.54955
197	21386.49224
198	21363.71502
199	21352.3794
200	21304.16756
201	21269.87234
202	21208.20992
203	21198.27045
204	21140.82462
205	21107.8854
206	21067.12036
207	21033.90619
208	21024.86364
209	20997.75739
210	20956.16002
211	20930.25154
212	20900.21024
213	20874.03372
214	20841.89329
215	20818.43766
216	20767.55785
217	20718.01783
218	20673.41376
219	20630.02415
220	20607.27526
221	20584.62269
222	20545.53775
223	20522.98694
224	20512.94568
225	20497.36149
226	20442.66487
227	20401.44923
228	20393.48378
229	20362.54983
230	20348.16609
231	20318.6254
232	20308.47365
233	20300.30858
234	20290.21355
235	20269.04778
236	20218.10979
237	20176.06359
238	20123.42013
239	20064.09873
240	20036.39058
241	20007.93138
242	19971.46984
243	19922.44959
244	19888.13566
245	19879.79804
246	19830.10856
247	19783.14619
248	19765.40325
249	19698.65398
250	19664.09608
251	19589.82592
252	19540.28825
253	19514.50565
254	19460.19463
255	19433.22427
256	19403.05632
257	19367.63809
258	19325.95405
259	19287.42523
260	19263.13982
261	19196.27144
262	19161.36961
263	19111.74645
264	19069.73429
265	19045.53285
266	18991.31552
267	18949.47987
268	18885.15749
269	18842.67127
270	18808.31443
271	18775.73321
272	18734.40669
273	18709.02618
274	18662.63949
275	18626.93757
276	18589.52234
277	18560.98108
278	18525.15132
279	18492.00607
280	18456.14824
281	18443.26691
282	18388.24708
283	18367.03463
284	18308.85755
285	18268.99722
286	18243.23713
287	18202.73314
288	18156.62384
289	18114.52931
290	18096.96441
291	18080.28111
292	18034.72222
293	18000.36772
294	17970.80274
295	17942.79089
296	17888.7222
297	17865.53471
298	17834.02855
299	17793.87275
300	17777.70732
301	17750.18269
302	17715.62397
303	17695.341
304	17676.98017
305	17641.24655
306	17592.10283
307	17547.30584
308	17531.5196
309	17523.20341
310	17474.21841
311	17427.17112
312	17408.82674
313	17360.14827
314	17339.49712
315	17305.10066
316	17280.56393
317	17266.01548
318	17259.7494
319	17211.29762
320	17188.26553
321	17173.51124
322	17169.06458
323	17145.45428
324	17131.23623
325	17095.22432
326	17048.38688
327	16999.7668
328	16964.4498
329	16945.8754
330	16912.70097
331	16900.75181
332	16862.01665
333	16842.08919
334	16806.47774
335	16774.53623
336	16743.34067
337	16726.40143
338	16722.46633
339	16685.15564
340	16655.87634
341	16634.86497
342	16615.58728
343	16602.52217
344	16578.67526
345	16549.02746
346	16508.15112
347	16467.59573
348	16440.97601
349	16416.87409
350	16387.95216
351	16356.92028
352	16319.88779
353	16292.67641
354	16262.70409
355	16237.16399
356	16214.73618
357	16180.86682
358	16156.8245
359	16117.75258
360	16100.30791
361	16068.51029
362	16065.84454
363	16047.6139
364	16016.46385
365	15994.26477
366	15980.54775
367	15953.60162
368	15928.37471
369	15896.18345
370	15868.4141
371	15842.61368
372	15821.87652
373	15796.36427
374	15753.93028
375	15735.94906
376	15698.28063
377	15674.0473
378	15644.27051
379	15622.05537
380	15603.00568
381	15564.88293
382	15542.64523
383	15501.65619
384	15473.01039
385	15444.75136
386	15427.52067
387	15407.36364
388	15386.68808
389	15370.46997
390	15340.29347
391	15296.85888
392	15277.24006
393	15243.88908
394	15221.46472
395	15191.06423
396	15162.17456
397	15146.69287
398	15122.88534
399	15091.45846
400	15075.28942
401	15057.88471
402	15033.5466
403	15006.4557
404	14987.32056
405	14965.89703
406	14939.91702
407	14938.03709
408	14924.89103
409	14880.84864
410	14866.04287
411	14848.12515
412	14812.15192
413	14787.62276
414	14758.75482
415	14733.20299
416	14706.47267
417	14684.02114
418	14662.42968
419	14631.08828
420	14606.14935
421	14592.60133
422	14571.08047
423	14544.4663
424	14531.79487
425	14508.56109
426	14490.65277
427	14478.50552
428	14453.00737
429	14416.28851
430	14401.19838
431	14380.626
432	14362.66126
433	14345.96268
434	14334.69284
435	14310.54862
436	14289.76235
437	14284.55328
438	14261.04281
439	14251.84578
440	14231.42926
441	14215.84465
442	14183.61676
443	14150.00652
444	14130.70976
445	14118.00434
446	14092.04267
