iter	Passed	Remaining
0	3	3959
1	7	3836
2	10	3618
3	14	3517
4	17	3515
5	21	3490
6	24	3432
7	27	3402
8	30	3387
9	33	3339
10	36	3316
11	40	3307
12	43	3265
13	45	3237
14	48	3192
15	51	3171
16	53	3106
17	58	3168
18	60	3119
19	63	3090
20	66	3078
21	68	3047
22	70	2987
23	72	2956
24	74	2903
25	76	2878
26	79	2857
27	81	2839
28	83	2800
29	85	2779
30	88	2753
31	91	2754
32	93	2734
33	96	2733
34	98	2706
35	99	2677
36	102	2663
37	104	2650
38	106	2620
39	108	2609
40	111	2601
41	113	2578
42	114	2557
43	116	2535
44	118	2521
45	120	2499
46	122	2489
47	124	2473
48	126	2447
49	127	2429
50	129	2413
51	131	2395
52	133	2389
53	135	2370
54	137	2354
55	138	2341
56	140	2323
57	142	2308
58	143	2293
59	145	2285
60	148	2281
61	150	2269
62	151	2252
63	152	2237
64	154	2223
65	155	2207
66	157	2194
67	159	2181
68	161	2172
69	163	2168
70	164	2156
71	166	2148
72	168	2136
73	169	2126
74	171	2113
75	172	2103
76	174	2091
77	176	2085
78	178	2079
79	179	2069
80	181	2058
81	182	2047
82	184	2037
83	185	2026
84	187	2016
85	189	2011
86	191	2008
87	193	2000
88	194	1993
89	195	1978
90	197	1971
91	198	1962
92	200	1953
93	201	1945
94	203	1937
95	204	1929
96	206	1925
97	208	1918
98	210	1912
99	211	1905
100	213	1897
101	214	1889
102	216	1881
103	217	1873
104	219	1867
105	220	1860
106	222	1854
107	223	1846
108	225	1839
109	226	1829
110	227	1823
111	229	1818
112	230	1811
113	232	1804
114	233	1798
115	235	1794
116	237	1792
117	239	1788
118	240	1783
119	243	1783
120	245	1781
121	246	1774
122	248	1769
123	249	1763
124	250	1751
125	251	1746
126	253	1742
127	255	1737
128	256	1733
129	258	1728
130	259	1723
131	261	1719
132	263	1716
133	264	1711
134	266	1708
135	269	1709
136	270	1706
137	272	1702
138	274	1698
139	275	1693
140	277	1689
141	278	1683
142	279	1677
143	281	1676
144	283	1672
145	285	1667
146	286	1662
147	287	1657
148	289	1653
149	290	1648
150	292	1643
151	293	1638
152	295	1633
153	296	1631
154	298	1629
155	300	1624
156	301	1620
157	303	1616
158	304	1612
159	306	1608
160	307	1603
161	309	1598
162	310	1592
163	311	1589
164	313	1586
165	315	1582
166	316	1579
167	318	1576
168	320	1573
169	321	1569
170	322	1564
171	324	1559
172	325	1555
173	327	1553
174	328	1550
175	330	1547
176	332	1544
177	333	1540
178	335	1538
179	336	1534
180	338	1529
181	339	1526
182	341	1522
183	343	1521
184	345	1520
185	346	1516
186	348	1513
187	349	1508
188	350	1504
189	352	1500
190	353	1496
